categoria,subcategoria,label
Demanda,VLT,Passageiros de VLT (Estudante)
Demanda,VLT,Passageiros de VLT (Integração)
Demanda,VLT,Passageiros de VLT (Gratuidade)
Demanda,VLT,Passageiros de VLT (Equivalentes)
Demanda,Monotrilho,Passageiros de Monotrilho (Comum)
Demanda,Monotrilho,Passageiros de Monotrilho (Vale Transporte)
Demanda,Monotrilho,Passageiros de Monotrilho (Estudante)
Demanda,Monotrilho,Passageiros de Monotrilho (Integração)
Demanda,Monotrilho,Passageiros de Monotrilho (Gratuidade)
Demanda,Monotrilho,Passageiros de Monotrilho (Equivalentes)
Demanda,Aeromóvel,Passageiros de Aeromóvel (Comum)
Demanda,Aeromóvel,Passageiros de Aeromóvel (Vale Transporte)
Demanda,Aeromóvel,Passageiros de Aeromóvel (Estudante)
Demanda,Aeromóvel,Passageiros de Aeromóvel (Integração)
Demanda,Aeromóvel,Passageiros de Aeromóvel (Gratuidade)
Demanda,Aeromóvel,Passageiros de Aeromóvel (Equivalentes)
Tarifa,Subsídios,Baixa Renda - Percentual de Desconto
Tarifa,Subsídios,Idosos - Tarifa Paga
Tarifa,Subsídios,Deficientes - Tarifa Paga
Tarifa,Subsídios,Estudantes de Rede Pública - Percentual de Desconto
Tarifa,Subsídios,Estudantes de Rede Privada - Percentual de Desconto
Tarifa,Táxi,Táxi - Valor da Bandeirada
Tarifa,Táxi,Táxi - Valor da Bandeirada 1
Tarifa,Táxi,Táxi - Valor da Bandeirada 2
Tarifa,Táxi,Táxi - Valor Hora Parada
Tarifa,Táxi,Táxi - Valor Tarifa Aeroporto
Tarifa,Mototáxi,Táxi - Valor da Bandeirada
Tarifa,Mototáxi,Táxi - Valor da Bandeirada 1
Tarifa,Mototáxi,Táxi - Valor da Bandeirada 2
Tarifa,Mototáxi,Táxi - Valor Hora Parada
Tarifa,Mototáxi,Táxi - Valor Tarifa Aeroporto
Custos,Ônibus,Custos (Ônibus) - Operação (Ônibus)
Custos,Ônibus,Custos (Ônibus) - Administrativo (Ônibus)
Custos,Ônibus,Custos (Ônibus) - Combustível (Ônibus)
Custos,Ônibus,Custos (Ônibus) - Depreciação (Ônibus)
Custos,Ônibus,Custos (Ônibus) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Ônibus,"Custos (Ônibus) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Ônibus,Custos (Ônibus) - Impostos e Tributação (Ônibus)
Custos,Ônibus,Custos (Ônibus) - Despesas Administrativas (Ônibus)
Custos,Ônibus,Custos (Ônibus) - Outros insumos (Ônibus)
missing,Ônibus,Outros insumos detalhamento (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Operação (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Administrativo (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Combustível (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Depreciação (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Vans/Microônibus,"Custos (Vans/Microônibus) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Impostos e Tributação (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Despesas Administrativas (Ônibus)
Custos,Vans/Microônibus,Custos (Vans/Microônibus) - Outros insumos (Ônibus)
Custos,Metrô,Custos (Metrô) - Operação (Ônibus)
Custos,Metrô,Custos (Metrô) - Administrativo (Ônibus)
Custos,Metrô,Custos (Metrô) - Combustível (Ônibus)
Custos,Metrô,Custos (Metrô) - Depreciação (Ônibus)
Custos,Metrô,Custos (Metrô) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Metrô,"Custos (Metrô) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Metrô,Custos (Metrô) - Impostos e Tributação (Ônibus)
Custos,Metrô,Custos (Metrô) - Despesas Administrativas (Ônibus)
Custos,Metrô,Custos (Metrô) - Energia (Ônibus)
Custos,Metrô,Custos (Metrô) - IPTU (Ônibus)
Custos,Metrô,Custos (Metrô) - Outros insumos (Ônibus)
Custos,Trem,Custos (Trem) - Operação (Ônibus)
Custos,Trem,Custos (Trem) - Administrativo (Ônibus)
Custos,Trem,Custos (Trem) - Combustível (Ônibus)
Custos,Trem,Custos (Trem) - Depreciação (Ônibus)
Custos,Trem,Custos (Trem) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Trem,"Custos (Trem) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Trem,Custos (Trem) - Impostos e Tributação (Ônibus)
Custos,Trem,Custos (Trem) - Despesas Administrativas (Ônibus)
Custos,Trem,Custos (Trem) - Energia (Ônibus)
Custos,Trem,Custos (Trem) - IPTU (Ônibus)
Custos,Trem,Custos (Trem) - Outros insumos (Ônibus)
Custos,Barco,Custos (Barco) - Operação (Ônibus)
Custos,Barco,Custos (Barco) - Administrativo (Ônibus)
Custos,Barco,Custos (Barco) - Combustível (Ônibus)
Custos,Barco,Custos (Barco) - Depreciação (Ônibus)
Custos,Barco,Custos (Barco) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Barco,"Custos (Barco) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Barco,Custos (Barco) - Impostos e Tributação (Ônibus)
Custos,Barco,Custos (Barco) - Despesas Administrativas (Ônibus)
Custos,Barco,Custos (Barco) - Outros insumos (Ônibus)
Custos,VLT,Custos (VLT) - Operação (Ônibus)
Custos,VLT,Custos (VLT) - Administrativo (Ônibus)
Custos,VLT,Custos (VLT) - Combustível (Ônibus)
Custos,VLT,Custos (VLT) - Depreciação (Ônibus)
Custos,VLT,Custos (VLT) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,VLT,"Custos (VLT) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,VLT,Custos (VLT) - Impostos e Tributação (Ônibus)
Custos,VLT,Custos (VLT) - Despesas Administrativas (Ônibus)
Custos,VLT,Custos (VLT) - Energia (Ônibus)
Custos,VLT,Custos (VLT) - IPTU (Ônibus)
Custos,VLT,Custos (VLT) - Outros insumos (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Operação (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Administrativo (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Combustível (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Depreciação (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Monotrilho,"Custos (Monotrilho) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Monotrilho,Custos (Monotrilho) - Impostos e Tributação (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Despesas Administrativas (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Energia (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - IPTU (Ônibus)
Custos,Monotrilho,Custos (Monotrilho) - Outros insumos (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Operação (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Administrativo (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Combustível (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Depreciação (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Remuneração pelo Serviço Prestado (Ônibus)
Custos,Aeromóvel,"Custos (Aeromóvel) - Peças, acessórios e material de rodagem (Ônibus)"
Custos,Aeromóvel,Custos (Aeromóvel) - Impostos e Tributação (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Despesas Administrativas (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Energia (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - IPTU (Ônibus)
Custos,Aeromóvel,Custos (Aeromóvel) - Outros insumos (Ônibus)
Outros,Governança e Leis,Plano Diretor
Outros,Governança e Leis,Ano Plano Diretor
Outros,Governança e Leis,Lei de Zoneamento ou Uso e Ocupação do Solo
