"code_variable";"label";"label_pergunta";"categoria";"subcategoria";"is_dashboard";"is_tabela";"is_absolute";"is_average";"is_percentage"
"2.6.1.D";"Existe informação sobre pontualidade e regularidade (Trem)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por trem?";"Infraestrutura";"Trem";"0";"1";"0";"0";"0"
"2.6.1.E";"Existe informação sobre pontualidade e regularidade (Barco)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por barco?";"Infraestrutura";"Barco";"0";"1";"0";"0";"0"
"2.6.1.F";"Existe informação sobre pontualidade e regularidade (VLT)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por VLT?";"Infraestrutura";"VLT";"0";"1";"0";"0";"0"
"2.6.1.G";"Existe informação sobre pontualidade e regularidade (Monotrilho)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por monotrilho?";"Infraestrutura";"Monotrilho";"0";NA;"0";"0";"0"
"2.6.1.H";"Existe informação sobre pontualidade e regularidade (Aeromóvel)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por aeromóvel?";"Infraestrutura";"Aeromóvel";"0";NA;"0";"0";"0"
"2.6.2.A";"Viagens de Ônibus Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"2.6.2.B";"Viagens de Microônibus Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Vans/Microônibus";"1";"1";"1";"0";"0"
"2.6.2.C";"Viagens de Metrô Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por metrô foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Metrô";"1";NA;"1";"0";"0"
"2.6.2.D";"Viagens de Trem Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por trem foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Trem";"1";NA;"1";"0";"0"
"2.6.2.E";"Viagens de Barco Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por barco foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Barco";"1";NA;"1";"0";"0"
"2.6.2.F";"Viagens de VLT Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por VLT foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"VLT";"1";NA;"1";"0";"0"
"2.6.2.G";"Viagens de Monotrilho Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por Monotrilho foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Monotrilho";"1";NA;"1";"0";"0"
"2.6.2.H";"Viagens de Aeromóvel Realizadas no Horário Programado (%)";"Qual a porcentagem de viagens por aeromóvel foram realizadas dentro do horário programado no ano? (%)";"Infraestrutura";"Aeromóvel";"1";NA;"1";"0";"0"
"2.6.2.I";"Viagens de Ônibus Incompletas (%)";"Qual a porcentagem de viagens por ônibus não foram completadas no ano? (%)";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"2.6.2.J";"Viagens de Ônibus Incompletas Microônibus(%)";"Qual o percentual de viagens por vans/microônibus não foram completadas no ano? (%)";"Infraestrutura";"Vans/Microônibus";"1";"1";"0";"0";"1"
"2.6.2.K";"Viagens de Metrô Incompletas (%)";"Qual o percentual de viagens por metrô não foram completadas no ano? (%)";"Infraestrutura";"Metrô";NA;NA;"0";"0";"1"
"2.6.2.L";"Viagens de Trem Incompletas (%)";"Qual o percentual de viagens por trem não foram completadas no ano? (%)";"Infraestrutura";"Trem";NA;NA;"0";"0";"1"
"2.6.2.M";"Viagens de Barco Incompletas (%)";"Qual o percentual de viagens por barco não foram completadas no ano? (%)";"Infraestrutura";"Barco";NA;NA;"0";"0";"1"
"2.6.2.N";"Viagens de VLT Incompletas (%)";"Qual o percentual de viagens por VLT não foram completadas no ano? (%)";"Infraestrutura";"VLT";NA;NA;"0";"0";"1"
"2.6.2.O";"Viagens de Monotrilho Incompletas (%)";"Qual o percentual de viagens por monotrilho não foram completadas no ano? (%)";"Infraestrutura";"Monotrilho";NA;NA;"0";"0";"1"
"2.6.2.P";"Viagens de Aeromóvel Incompletas (%)";"Qual o percentual de viagens por aeromóvel não foram completadas no ano? (%)";"Infraestrutura";"Aeromóvel";NA;NA;"0";"0";"1"
"3.1.1.A";"Valor da Tarifa";"Qual o valor da atual tarifa predominante do município?";"Tarifa";"Valores";"1";"1";"1";"0";"0"
"3.1.1.B";"Valor Anterior da Tarifa";"Qual o valor anterior da tarifa predominante no município?";"Tarifa";"Valores";"0";"0";"1";"0";"0"
"3.1.1.C";"Data do Último Reajuste";"Qual a data do último reajuste?";"missing";NA;"0";"0";"0";"0";"0"
"3.1.2";"Tarifa Única";"Existe outros valores de tarifas na rede de transporte público coletivo no município?";"Tarifa";NA;"0";"0";"0";"0";"0"
"3.1.2.A";"Serviços e Tarifas Diferentes";"Quais outros serviços e respectivos valores de tarifas públicas existem no município?";"Tarifa";NA;"0";"0";"0";"0";"0"
"3.1.3";"Formas de Integração Tarifárias Existentes";"Quais as formas de integração tarifária existentes?";"missing";NA;"0";"0";"0";"0";"0"
"3.2.1.A";"Receita Tarifária (Ônibus)";"Qual o valor da receita tarifária anual por ônibus arrecadado no ano?";"Receita";"Ônibus";"1";"1";"1";"0";"0"
"3.2.1.B";"Subsídios a Passageiros (Ônibus)";"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por ônibus no ano?";"Receita";"Ônibus";"1";"1";"1";"0";"0"
