"code_variable";"label";"label_pergunta";"categoria";"subcategoria";"is_dashboard";"is_tabela";"is_absolute";"is_average";"is_percentage"
"3.2.1.C";"Subsídios ao Sistema (Ônibus)";"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por ônibus no ano?";"Receita";"Ônibus";"1";"1";"1";"0";"0"
"3.2.1.D";"Receita Extratarifária com Publicidade (Ônibus)";"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por ônibus no ano?";"Receita";"Ônibus";"1";"1";"1";"0";"0"
"3.2.1.E";"Receita Extratarifária de Outras Fontes (Ônibus)";"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por ônibus no ano?";"Receita";"Ônibus";"1";"1";"1";"0";"0"
"3.2.2.A";"Receita Tarifária (Vans/Microônibus)";"Qual o valor da receita tarifária anual por vans/microônibus arrecadado no ano?";"Receita";"Vans/Microônibus";"1";"1";"1";"0";"0"
"3.2.2.B";"Subsídios a Passageiros (Vans/Microônibus)";"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por vans/microônibus no ano?";"Receita";"Vans/Microônibus";"1";NA;"1";"0";"0"
"3.2.2.C";"Subsídios ao Sistema (Vans/Microônibus)";"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por vans/microônibus no ano?";"Receita";"Vans/Microônibus";"1";NA;"1";"0";"0"
"3.2.2.D";"Receita Extratarifária com Publicidade (Vans/Microônibus)";"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por vans/microônibus no ano?";"Receita";"Vans/Microônibus";"1";NA;"1";"0";"0"
"3.2.2.E";"Receita Extratarifária de Outras Fontes (Vans/Microônibus)";"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por vans/microônibus no ano?";"Receita";"Vans/Microônibus";"1";NA;"1";"0";"0"
"3.2.3.A";"Receita Tarifária (Metrô)";"Qual o valor da receita tarifária anual por metrô arrecadado no ano?";"Receita";"Metrô";"1";NA;"1";"0";"0"
"3.2.3.B";"Subsídios a Passageiros (Metrô)";"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por metrô no ano?";"Receita";"Metrô";"1";NA;"1";"0";"0"
"3.2.3.C";"Subsídios ao Sistema (Metrô)";"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por metrô no ano?";"Receita";"Metrô";"1";NA;"1";"0";"0"
"3.2.3.D";"Receita Extratarifária com Publicidade (Metrô)";"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por metrô no ano?";"Receita";"Metrô";"1";NA;"1";"0";"0"
