code_variable,name_variable,label_pergunta,label,tipo,modal,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate,categoria
3.6.1.F,"Qual o valor da Bandeirada do serviço de mototáxi no município, se houver?","Qual o valor da Bandeirada do serviço de mototáxi no município, se houver?",Táxi - Valor da Bandeirada,numeric,Mototáxi,1,1,0,0,0,1,1,Tarifas
3.6.1.G,"Qual o valor da Bandeirada 1 do serviço de mototáxi, por quilômetro rodado, se houver?","Qual o valor da Bandeirada 1 do serviço de mototáxi, por quilômetro rodado, se houver?",Táxi - Valor da Bandeirada 1,numeric,Mototáxi,0,0,0,0,0,1,1,Tarifas
3.6.1.H,"Qual o valor da Bandeirada 2 do serviço de mototáxi, por quilômetro rodado, se houver?","Qual o valor da Bandeirada 2 do serviço de mototáxi, por quilômetro rodado, se houver?",Táxi - Valor da Bandeirada 2,numeric,Mototáxi,0,0,0,0,0,1,1,Tarifas
3.6.1.I,"Qual o valor do serviço de mototáxi, por hora parada, se houver?","Qual o valor do serviço de mototáxi, por hora parada, se houver?",Táxi - Valor Hora Parada,numeric,Mototáxi,1,1,0,0,0,1,1,Tarifas
3.6.1.J,"Qual o valor da tarifa aeroporto do serviço de mototáxi, se houver?","Qual o valor da tarifa aeroporto do serviço de mototáxi, se houver?",Táxi - Valor Tarifa Aeroporto,numeric,Mototáxi,1,1,0,0,0,1,1,Tarifas
3.7.1.A,Mão de obra 1 (operação) diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Mão de obra 1 (operação) diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Operação (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.B,Mão de obra 2 (administrativo) diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Mão de obra 2 (administrativo) diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Administrativo (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.C,Combustíveis dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Combustíveis dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Combustível (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.D,Depreciação de veículos diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Depreciação de veículos diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Depreciação (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.E,Remuneração pela prestação do serviço diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Remuneração pela prestação do serviço diz respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Remuneração pelo Serviço Prestado (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.F,"Peças, acessórios e material de rodagem dizem respeito a qual percentual da planilha de custos do serviço por ônibus?","Peças, acessórios e material de rodagem dizem respeito a qual percentual da planilha de custos do serviço por ônibus?","Percentual dos Custos - Peças, acessórios e material de rodagem (Ônibus)",numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.G,Impostos e tributação dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Impostos e tributação dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Impostos e Tributação (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.H,Despesas administrativas dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Despesas administrativas dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Despesas Administrativas (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.I,Outros insumos dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Outros insumos dizem respeito a qual percentual da planilha de custos do serviço por ônibus?,Percentual dos Custos - Outros insumos (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.7.1.J,"Se houver outros insumos, especificar:","Se houver outros insumos, especificar:",Outros insumos detalhamento (Ônibus),numeric,Ônibus,0,1,1,0,0,1,1,missing
4.1.1.A,Qual o ano de elaboração ou última atualização do Plano Diretor?,Qual o ano de elaboração ou última atualização do Plano Diretor?,Ano Plano Diretor,numeric,NA,0,1,0,0,0,1,1,missing
4.4.2,Qual o ano de elaboração ou última atualização do Plano de Mobilidade Urbana?,Qual o ano de elaboração ou última atualização do Plano de Mobilidade Urbana?,NA,numeric,NA,0,0,0,0,0,1,1,missing
4.7.1.A,Qual o ano de realização da última pesquisa O/D?,Qual o ano de realização da última pesquisa O/D?,Ano da POD,numeric,NA,0,0,0,0,0,1,1,missing
4.7.1.D,"Considerando todos os modos de transporte e as pesquisa O/D realizadas, qual o número médio de viagens diárias no município?","Considerando todos os modos de transporte e as pesquisa O/D realizadas, qual o número médio de viagens diárias no município?",POD - Número médio de viagens diárias,numeric,NA,0,0,0,0,0,1,1,missing
4.7.1.E,"Considerando todos os modos de transporte e as pesquisas O/D realizadas, qual a distância média das viagens no município? (Em km)","Considerando todos os modos de transporte e as pesquisas O/D realizadas, qual a distância média das viagens no município? (Em km)",POD - Distância média das viagens,numeric,NA,0,0,0,1,0,0,1,missing
4.7.1.F,"Considerando todos os modos de transportes e as pesquisas O/D realizadas, qual o tempo médio das viagens realizadas no município? (Em minutos)","Considerando todos os modos de transportes e as pesquisas O/D realizadas, qual o tempo médio das viagens realizadas no município? (Em minutos)",POD - Tempo médio das viagens,numeric,NA,0,0,0,0,0,1,1,missing
4.7.1.G,"Considerando a divisão modal identificada pelas pesquisas O/D realizadas, qual o percentual de viagens realizadas a pé? (Em %)","Considerando a divisão modal identificada pelas pesquisas O/D realizadas, qual o percentual de viagens realizadas a pé? (Em %)",POD - Percentual de viagens a pé,numeric,NA,0,0,0,0,1,0,1,missing
4.7.1.H,"Considerando a divisão modal identificada pelas pesquisas O/D realizadas, qual o percentual de viagens realizadas de bicicleta? (Em %)","Considerando a divisão modal identificada pelas pesquisas O/D realizadas, qual o percentual de viagens realizadas de bicicleta? (Em %)",POD - Percentual de viagens de bicicleta,numeric,Bicicleta,0,0,0,0,1,0,1,missing
