code_variable,name_variable,label_pergunta,label,categoria,subcategoria,modal,submodal,tipo,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate
2.1.1.E,Qual a velocidade média operacional (km/h) do sistema de trem do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de trem do município no horário de pico?,Velocidade Média do Trem (pico),Modais de transporte,Frota,Trem,Trem,numeric,1,1,0,1,0,0,0
2.1.1.F,Qual a velocidade média operacional (km/h) do sistema de VLT do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de VLT do município no horário de pico?,Velocidade Média do VLT (pico),Modais de transporte,Frota,VLT,VLT,numeric,1,1,0,1,0,0,1
2.1.1.G,Qual a velocidade média operacional (km/h) do sistema de monotrilho do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de monotrilho do município no horário de pico?,Velocidade Média do Monotrilho (pico),Modais de transporte,Frota,Monotrilho,Monotrilho,numeric,1,1,0,1,0,0,0
2.1.1.H,Qual a velocidade média operacional (km/h) do sistema de aeromóvel do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de aeromóvel do município no horário de pico?,Velocidade Média do Aeromóvel (pico),Modais de transporte,Frota,Aeromóvel,Aeromóvel,numeric,1,1,0,1,0,0,0
2.1.2,Qual a velocidade média operacional (km/h) do sistema de transporte público coletivo em vias de tráfego misto no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de transporte público coletivo em vias de tráfego misto no horário de pico?,Velocidade Média do Transporte Público em Vias Mistas,Modais de transporte,Frota,NA,NA,numeric,1,1,0,1,0,0,1
2.2.1,É possível a circulação de táxis nos corredores de ônibus?,É possível a circulação de táxis nos corredores de ônibus?,Táxi no Corredor de Ônibus,Modais de transporte,Frota,Táxi,NA,text,0,1,0,0,0,0,1
2.3.1.A,Qual a idade média da frota do serviço de transporte por ônibus no município? (em anos),Qual a idade média da frota do serviço de transporte por ônibus no município? (em anos),Idade Média da Frota de Ônibus,Modais de transporte,Frota,Ônibus,Ônibus,numeric,0,1,0,1,0,0,1
2.3.1.B,Qual a idade média da frota do serviço de transporte por vans/microônibus no município? (em anos),Qual a idade média da frota do serviço de transporte por vans/microônibus no município? (em anos),Idade Média da Frota de Microônibus,Modais de transporte,Frota,Microônibus,Microônibus,numeric,0,1,0,1,0,0,1
2.3.1.C,Qual a idade média da frota do serviço de transporte por metrô no município? (em anos),Qual a idade média da frota do serviço de transporte por metrô no município? (em anos),Idade Média da Frota de Metrô,Modais de transporte,Frota,Metrô,Metrô,numeric,1,1,0,1,0,0,1
2.3.1.D,Qual a idade média da frota do serviço de transporte por trem no município? (em anos),Qual a idade média da frota do serviço de transporte por trem no município? (em anos),Idade Média da Frota de Trens,Modais de transporte,Frota,Trem,Trem,numeric,1,1,0,1,0,0,0
2.3.1.E,Qual a idade média da frota do serviço de transporte por VLT no município? (em anos),Qual a idade média da frota do serviço de transporte por VLT no município? (em anos),Idade Média da Frota de VLTs,Modais de transporte,Frota,VLT,VLT,numeric,0,1,0,1,0,0,0
2.3.1.F,Qual a idade média da frota do serviço de transporte por monotrilho no município? (em anos),Qual a idade média da frota do serviço de transporte por monotrilho no município? (em anos),Idade Média da Frota de Monotrilho,Modais de transporte,Frota,Monotrilho,Monotrilho,numeric,0,1,0,1,0,0,0
2.3.1.G,Qual a idade média da frota do serviço de transporte por aeromóvel no município? (em anos),Qual a idade média da frota do serviço de transporte por aeromóvel no município? (em anos),Idade Média da Frota de Aeromóvel,Modais de transporte,Frota,Aeromóvel,Aeromóvel,numeric,0,1,0,1,0,0,0
2.3.1.H,Qual a idade média da frota do serviço de transporte por Táxi no município? (em anos),Qual a idade média da frota do serviço de transporte por Táxi no município? (em anos),Idade Média da Frota de Táxis,Modais de transporte,Frota,Táxi,Táxi,numeric,0,1,0,1,0,0,1
2.4.1.A,Qual o número de terminais rodoviários com informações aos usuários sobre itinerários?,Qual o número de terminais rodoviários com informações aos usuários sobre itinerários?,Terminais Rodoviários com Itinerários,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
2.4.1.B,Qual o número de terminais rodoviários com informações aos usuários sobre horários?,Qual o número de terminais rodoviários com informações aos usuários sobre horários?,Terminais Rodoviários com Informações sobre Horários,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
2.4.1.C,Qual o número de terminais rodoviários com informações aos usuários sobre tarifas dos serviços?,Qual o número de terminais rodoviários com informações aos usuários sobre tarifas dos serviços?,Terminais Rodoviários com Informações sobre Tarifas,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
2.4.1.D,Qual o número de terminais rodoviários com informações aos usuários sobre formas de integração com outros modos de transporte?,Qual o número de terminais rodoviários com informações aos usuários sobre formas de integração com outros modos de transporte?,Terminais Rodoviários com Informações sobre Integrações,Modais de transporte,Infraestrutura,NA,NA,numeric,0,1,0,0,0,1,1
2.4.1.E,Qual o número de estações metroferroviárias com informações aos usuários sobre itinerários?,Qual o número de estações metroferroviárias com informações aos usuários sobre itinerários?,Estações Metroviárias com Itinerários,Modais de transporte,Infraestrutura,NA,Metrô/trem,numeric,1,1,1,0,0,1,1
2.4.1.F,Qual o número de estações metroferroviárias com informações aos usuários sobre horários?,Qual o número de estações metroferroviárias com informações aos usuários sobre horários?,Estações Metroviárias com Informações sobre Horários,Modais de transporte,Infraestrutura,NA,Metrô/trem,numeric,1,1,1,0,0,1,1
2.4.1.G,Qual o número de estações metroferroviárias com informações aos usuários sobre tarifas dos serviços?,Qual o número de estações metroferroviárias com informações aos usuários sobre tarifas dos serviços?,Estações Metroviárias com Informações sobre Tarifas,Modais de transporte,Infraestrutura,NA,Metrô/trem,numeric,1,1,1,0,0,1,1
2.4.1.H,Qual o número de estações metroferroviárias com informações aos usuários sobre formas de integração com outros modos de transporte?,Qual o número de estações metroferroviárias com informações aos usuários sobre formas de integração com outros modos de transporte?,Estações Metroviárias com Informações sobre Integrações,Modais de transporte,Infraestrutura,NA,Metrô/trem,numeric,1,1,1,0,0,1,1
