name_variable,code_variable
Tarifa Aeroporto (R$/km)  -  Mototáxi,3.6.1.K
Tarifa baseada em planilha de custos,3.7.1
Combustível - Ônibus,3.7.1.A
Despesa com pessoal/ Operação - Ônibus,3.7.1.B
Depreciação/ Veículos - Ônibus,3.7.1.C
Peças e acessórios - Ônibus,3.7.1.D
Outros -Ônibus,3.7.1.E
Combustível - Vans/Microônibus,3.7.1.F
Despesa com pessoal/ Operação - Vans/Microônibus,3.7.1.G
Depreciação/ Veículos - Vans/Microônibus,3.7.1.H
Peças e acessórios - Vans/Microônibus,3.7.1.I
Outros - Vans/Microônibus,3.7.1.J
Despesa com pessoal/Operação - Metrô,3.7.1.K
Depreciação/ Veículos - Metrô,3.7.1.L
Peças e acessórios - Metrô,3.7.1.M
Energia - Metrô,3.7.1.N
IPTU - Metrô,3.7.1.O
Outros - Metrô,3.7.1.P
Combustível - Trem,3.7.1.Q
Despesa com pessoal/ Operação - Trem,3.7.1.R
Depreciação/Veículos - Trem,3.7.1.S
Peças e acessórios - Trem,3.7.1.T
Energia - Trem,3.7.1.U
IPTU - Trem,3.7.1.V
Outros - Trem,3.7.1.W
Combustível - Barco,3.7.1.X
Despesa com pessoal/ Operação - Barco,3.7.1.Y
Depreciação/Veículos - Barco,3.7.1.Z
Peças e acessórios - Barco,3.7.1.AA
Outros - Barco,3.7.1.AB
Despesa com pessoal/ Operação - VLT,3.7.1.AC
Depreciação/ Veículos - VLT,3.7.1.AD
Peças e acessórios - VLT,3.7.1.AE
Energia - VLT,3.7.1.AF
IPTU - VLT,3.7.1.AG
Outros - VLT,3.7.1.AH
Despesa com pessoal/ Operação - Monotrilho,3.7.1.AI
Depreciação/ Veículos - Monotrilho,3.7.1.AJ
Peças e acessórios - Monotrilho,3.7.1.AK
Energia - Monotrilho,3.7.1.AL
IPTU - Monotrilho,3.7.1.AM
Outros - Monotrilho,3.7.1.AN
Despesa com pessoal/ Operação - Aeromóvel,3.7.1.AO
Depreciação/ Veículos - Aeromóvel,3.7.1.AP
Peças e acessórios - Aeromóvel,3.7.1.AQ
Energia - Aeromóvel,3.7.1.AR
IPTU - Aeromóvel,3.7.1.AS
Outros - Aeromóvel,3.7.1.AT
Plano Diretor,4.1.1
Última atualização,4.1.1.A
Lei de Zoneamento,4.2.1
Plano de Mob Urb  de RM,4.3.1
Qual RM ou AU?,4.3.1.A
Website do plano,4.3.1.B
PDUI,4.3.2
Qual RM?,4.3.2.A
Website PDUI,4.3.2.B
Possui Plano de Mob Urb,4.4.1
Website Plano de Mob Urb,4.4.1.A
Outros planos da área,4.4.2
Ano de elaboração/ atualização do Planmob,4.5.1
Instrumento normativo do plano,4.5.2
Metodologias de participação,4.6.1
Itens considerados na elaboração do plano,4.6.2
Serviços de transporte público coletivo,4.7.1.A
Circulação viária,4.7.1.B
Infraestruturas do sistema de mobilidade urbana,4.7.1.C
Acessibilidade para pessoas com deficiência e restrição de mobilidade,4.7.1.D
Integração dos modos de transporte público e destes com os privados e os não motorizados,4.7.1.E
Operação e o disciplinamento do transporte de carga na infraestrutura viária,4.7.1.F
Pólos geradores de viagens,4.7.1.G
"Áreas de estacionamento públicos e privados, gratuitos e onerosos",4.7.1.H
Áreas e horários de acesso e circulação restrita e controlada,4.7.1.I
Mecanismos e instrumentos de financiamento do transporte público e da infraestrutura de mobilidade urbana,4.7.1.J
"Sistemática de avaliação, revisão e atualização periódica do plano de mobilidade urbana",4.7.1.K
Medidas destinadas a atender aos núcleos urbanos informais consolidados,4.7.1.L
Pesquisa Origem – Destino,4.8.1
Ano de realização da última O/D,4.8.1.A
Periodicidade,4.8.1.B
Website da O/D,4.8.1.C
Nº médio de viagens diárias,4.8.1.D
"Distância média das viagens 
(km)",4.8.1.E
"Tempo médio das viagens
(min)",4.8.1.F
Divisão modal? -  A pé (%),4.8.1.G
Divisão modal? - Bicicleta (%),4.8.1.H
Divisão modal? - Transporte coletivo (%),4.8.1.H
Divisão modal? -Transporte individual motorizado (Automóvel) (%),4.8.1.I
Divisão modal? -Transporte individual motorizado (Moto) (%),4.8.1.J
Pedágio urbano,5.1.1
Arrecadação anual no ano de 2018? (R$),5.1.1.A
Nº de vagas de estacionamentos regulamentados,5.2.1
% de vagas reservadas - para pessoas com deficiência e mobilidade reduzida,5.2.1.A
% de vagas reservadas - para idosos?,5.2.1.B
% de vagas reservadas - para gestantes?,5.2.1.C
Área Azul,5.2.2
Arrecadação com Área Azul em 2018,5.2.2.A
Controle e determinação de padrões de emissão de poluentes para determinados locais e horários,5.3.1.A
Controle de uso e operação da infraestrutura viária destinada à circulação e operação do transporte de cargas,5.3.1.B
Monitoramento e controle das emissões dos gases de efeito estufa e local dos modos de transporte motorizados,5.3.1.C
Convênio ou instrumento equivalente para o combate ao transporte ilegal de passageiros,5.3.1.D
Convênios para o transporte coletivo urbano internacional,5.3.1.E
Rodizio de veículos,5.3.1.F
Projetos públicos (em elaboração ou a implementar) que promovam áreas ou rotas acessíveis na cidade,6.1.1.A
Obras públicas de áreas ou rotas acessíveis na cidade (finalizadas no ano de 2018),6.1.1.B
Planos de adequação de infraestrutura existente (em elaboração ou a implementar),6.1.1.C
Legislação municipal específica,6.1.1.D
Material técnico para construção de calçadas ou espaços públicos acessíveis,6.1.1.E
Campanhas de sensibilização/educativas,6.1.1.F
Recursos orçamentários para promoção da acessibilidade (previsão para o ano corrente),6.1.1.G
Lei Orgânica,6.2.1.A
Plano Diretor,6.2.1.B
Lei de Parcelamento,6.2.1.C
Lei de Uso e Ocupação do Solo,6.2.1.D
Código de Obras e de Edificações,6.2.1.E
Código de Posturas,6.2.1.F
Serviço especial de transporte gratuito para as pessoas com deficiência,6.3.1
Energia alternativa no transporte público,7.1.1
Etanol - % frota,7.1.1.A
Eletrecidade - % frota,7.1.1.B
Gás Natural - % frota,7.1.1.C
Hidrogênio - % frota,7.1.1.D
Biodiesel - % frota,7.1.1.E
Híbrido (eletrecidade + diesel) - % frota,7.1.1.F
Energia alternativa na frota de táxi,7.2.1
Etanol - % frota,7.2.1.A
Eletrecidade - % frota,7.2.1.A
Gás Natural - % frota,7.2.1.A
Híbrido (Eletrecidade + Gasolina) - % frota,7.2.1.A
Inspeção veicular,7.3.1
Conselho municipal de transporte e/ou mobilidade urbana,8.1.1
A mobilidade urbana é discutida no Conselho da Cidade ou outro órgão colegiado,8.1.2
Caráter do conselho,8.2.1
Composição do Conselho: Poder Executivo (%),8.2.2.A
Composição do Conselho: Poder Legislativo (%),8.2.2.B
Composição do Conselho: Sociedade civil (%),8.2.2.C
Composição do Conselho: Operadores dos serviços de transporte (%),8.2.2.D
Composição do Conselho: Outros (%),8.2.2.E
Mês e ano da última reunião (mm/aa):,8.2.3
Ouvidoria ou estrutura similar,8.3.1
Tipo de consulta popular,8.4.1
Alterações na geometria da via por meio de estreitamento ou mudança de alinhamento,9.1.1.A
"Dispositivos físicos de redução de velocidade, como ondulação, platô, sonorizador e chicanas",9.1.1.B
Dispositivos eletrônicos para controle de velocidade,9.1.1.C
Diferenciação de pavimento para redução da velocidade dos automóveis,9.1.1.D
Estabelecimento de limite de velocidade de 30 km/h (Zona 30),9.1.1.E
Agentes de trânsito em exercício,9.1.2
Número de equipamentos de fiscalização de velocidade,9.1.3
Arrecadação anual com multas de trânsito (R$),9.1.4
Caracterização do órgão responsável pela gestão do sistema de mobilidade urbana,10.1.A
Regulamentação do transporte público,11.1.1
Modalidades de delegação de serviço de transporte público coletivo existem no município,11.1.2
Transporte público é licitado,11.2.1
"Prazo do contrato
(em anos)",11.2.1.A
Data de vencimento do contrato (mm/aa),11.2.1.B
Base de remuneração do operador,11.3.1
Transporte não regulamentado,11.4.1
Tipo de veículo que realiza o transporte não regulamentado,11.4.1.A
Regulamentação para o transporte remunerado privado individual,11.5.1
Nº de viagens realizadas em 2018 por transporte remunerado privado individual,11.5.1.A
"Km percorrida em 2018 por transporte remunerado privado individual
(Km)",11.5.1.B
"Arrecadação em 2018 por transporte remunerado privado individual
(R$)",11.5.1.C
Fundo municipal de transporte e/ou mobilidade urbana,12.1.1
O município faz uso de algum instrumento urbanístico previsto no Estatuto da Cidade (Lei Federal nº 10.257/2001) para viabilizar investimentos em mobilidade urbana?,12.1.2
Bilhetagem eletrônica,13.1.1.A
"Monitoramento eletrônico de frotas (GPS, câmeras, sensores, transmissão por rádio, etc.)",13.1.1.B
Informação em tempo real aos usuários (AVL - Automatic Vehicle Location),13.1.1.C
Centro de controle operacional,13.1.1.D
Centro de controle de tráfego,13.1.1.E
Sistema de semáforos inteligentes,13.1.1.F
Outro,13.1.1.G
Outra inovação tecnoloógica: Qual ?,13.1.1.H
Informação do transporte público coletivo em formato GTFS (General Transit Feed Specification),13.2.1
Website dos dados GTFS,13.2.1.A
